id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x,N,,,T,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel/1",1,,,,,forward
x_expert,N,x,,SLICE,1:(Seq/cp)*KExperts/(Experts*tp*ep),"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel/1",1,,,,,forward
dx_expert,N,,,T,,"Batch/dp, (Seq/cp)*KExperts/(Experts*tp*ep), Dmodel/1",1,,,,,backward
dx,N,dx_expert,,SLICE,1:(Seq/cp)*KExperts/(tp*ep),"Batch/dp, (Seq/cp)*KExperts/(Experts*tp*ep), Dmodel/1",1,,,,,backward
y_expert,N,,,T,,"Batch/dp, (Seq/cp)*KExperts/(Experts*tp*ep), Dmodel",1/1,,,,,forward
y,N,y_expert,,SLICE,1:(Seq/cp)*KExperts/(tp*ep),"Batch/dp, (Seq/cp)*KExperts/(Experts*tp*ep), Dmodel",1/1,,,,,forward
dy,N,,,T,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel/1",1,,,,,backward
dy_expert,N,dy,,SLICE,1:(Seq/cp)*KExperts/(tp*ep),"Batch/dp, (Seq/cp)*KExperts/(Experts*tp*ep), Dmodel/1",1,,,,,backward
