id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
y,N,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,forward
loss,N,y,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,forward
dy,N,loss,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,,backward
