id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x,N,,,T,,"Batch/dp, Seq*KExperts/(sp*ep), Dmodel/tp",1,,,,,forward
x_expert,N,x,,SLICE,1:Seq*KExperts/(Experts*sp*ep),"Batch/dp, Seq*KExperts/(sp*ep), Dmodel/tp",1,,,,,forward
dx_expert,N,,,T,,"Batch/dp, Seq*KExperts/(Experts*sp*ep), Dmodel/tp",1,,,,,backward
dx,N,dx_expert,,SLICE,1:Seq*KExperts/(sp*ep),"Batch/dp, Seq*KExperts/(Experts*sp*ep), Dmodel/tp",1,,,,,backward
y_expert,N,,,T,,"Batch/dp, Seq*KExperts/(Experts*sp*ep), Dmodel",1/tp,,,,,forward
y,N,y_expert,,SLICE,1:Seq*KExperts/(sp*ep),"Batch/dp, Seq*KExperts/(Experts*sp*ep), Dmodel",1/tp,,,,,forward
dy,N,,,T,,"Batch/dp, Seq*KExperts/(sp*ep), Dmodel/tp",1,,,,,backward
dy_expert,N,dy,,SLICE,1:Seq*KExperts/(sp*ep),"Batch/dp, Seq*KExperts/(Experts*sp*ep), Dmodel/tp",1,,,,,backward
